"County, State",State,County Name,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Ontonagon, Michigan",Michigan,Ontonagon,26,7,24
"Shoshone, Idaho",Idaho,Shoshone,26,17,52
"Dubois, Indiana",Indiana,Dubois,26,56,207
"Charles Mix, South Dakota",South Dakota,Charles Mix,26,12,29
"Pamlico, North Carolina",North Carolina,Pamlico,26,13,32
"Fulton, Kentucky",Kentucky,Fulton,26,10,39
"Red River, Louisiana",Louisiana,Red River,26,10,23
"Butts, Georgia",Georgia,Butts,25,38,105
"Monroe, Ohio",Ohio,Monroe,25,15,34
"Gratiot, Michigan",Michigan,Gratiot,25,56,184
"Luce, Michigan",Michigan,Luce,25,7,25
"Chatham, North Carolina",North Carolina,Chatham,25,127,457
"Harris, Georgia",Georgia,Harris,25,53,174
"Malheur, Oregon",Oregon,Malheur,25,40,117
"Sumter, South Carolina",South Carolina,Sumter,25,133,446
"Alexander, North Carolina",North Carolina,Alexander,25,39,130
"Webster, Kentucky",Kentucky,Webster,25,17,46
"Hansford, Texas",Texas,Hansford,25,7,18
"Snyder, Pennsylvania",Pennsylvania,Snyder,25,51,152
"Alamance, North Carolina",North Carolina,Alamance,25,230,715
"Fulton, Pennsylvania",Pennsylvania,Fulton,25,18,51
"Kent, Rhode Island",Rhode Island,Kent,25,215,734
"Franklin, Washington",Washington,Franklin,25,121,389
"Wythe, Virginia",Virginia,Wythe,25,37,109
"Montgomery, Pennsylvania",Pennsylvania,Montgomery,25,"1,053","3,864"
"Deuel, South Dakota",South Dakota,Deuel,25,7,17
"Middlesex, Virginia",Virginia,Middlesex,25,15,35
"Suwannee, Florida",Florida,Suwannee,25,49,128
"San Benito, California",California,San Benito,25,79,256
"Meeker, Minnesota",Minnesota,Meeker,25,29,110
"Orange, California",California,Orange,25,"3,966","13,873"
"Deaf Smith, Texas",Texas,Deaf Smith,25,24,63
"Maries, Missouri",Missouri,Maries,25,19,62
"Crawford, Illinois",Illinois,Crawford,25,24,76
"Charles, Maryland",Maryland,Charles,25,210,772
"Teller, Colorado",Colorado,Teller,25,32,91
"Jefferson, Nebraska",Nebraska,Jefferson,25,9,22
"Houston, Alabama",Alabama,Houston,25,135,419
"St. Bernard, Louisiana",Louisiana,St. Bernard,25,55,155
"Haywood, North Carolina",North Carolina,Haywood,25,78,233
"San Miguel, New Mexico",New Mexico,San Miguel,25,34,94
"Jefferson, Indiana",Indiana,Jefferson,25,47,173
"Delta, Colorado",Colorado,Delta,25,37,102
"Menifee, Kentucky",Kentucky,Menifee,25,8,26
"Mercer, Ohio",Ohio,Mercer,25,53,173
"Elbert, Colorado",Colorado,Elbert,25,30,94
"Freeborn, Minnesota",Minnesota,Freeborn,25,37,136
"Hart, Kentucky",Kentucky,Hart,25,30,77
"Shelby, Tennessee",Tennessee,Shelby,25,"1,163","3,633"
"Prairie, Arkansas",Arkansas,Prairie,25,9,25
"Lee, North Carolina",North Carolina,Lee,25,93,307
"Orange, Virginia",Virginia,Orange,25,39,123
"Holmes, Mississippi",Mississippi,Holmes,25,16,44
"Pike, Alabama",Alabama,Pike,25,44,136
"Santa Barbara, California",California,Santa Barbara,25,555,"1,812"
"Llano, Texas",Texas,Llano,25,31,77
"Reynolds, Missouri",Missouri,Reynolds,25,6,14
"Durham, North Carolina",North Carolina,Durham,25,391,"1,607"
"Chowan, North Carolina",North Carolina,Chowan,25,18,47
"Shelby, Texas",Texas,Shelby,25,31,82
"Warren, Illinois",Illinois,Warren,25,19,63
"Washington, Illinois",Illinois,Washington,25,17,68
"Lea, New Mexico",New Mexico,Lea,25,91,254
"McLean, North Dakota",North Dakota,McLean,25,12,28
"Wright, Iowa",Iowa,Wright,25,16,55
"Douglas, Washington",Washington,Douglas,25,55,166
"Brantley, Georgia",Georgia,Brantley,25,20,50
"Rutland, Vermont",Vermont,Rutland,25,77,263
"Owen, Indiana",Indiana,Owen,25,27,93
"Madison, Iowa",Iowa,Madison,25,29,98
"Nash, North Carolina",North Carolina,Nash,25,117,397
"Montgomery, Arkansas",Arkansas,Montgomery,25,9,19
"West Feliciana, Louisiana",Louisiana,West Feliciana,25,19,45
"Suffolk, New York",New York,Suffolk,25,"1,927","6,389"
"Oconto, Wisconsin",Wisconsin,Oconto,25,47,126
"Outagamie, Wisconsin",Wisconsin,Outagamie,25,206,782
"Custer, Nebraska",Nebraska,Custer,25,13,32
"Napa, California",California,Napa,25,162,525
"Western Connecticut, Connecticut",Connecticut,Western Connecticut,25,768,"2,742"
"Grayson, Kentucky",Kentucky,Grayson,25,31,86
"Abbeville, South Carolina",South Carolina,Abbeville,25,35,106
"Duplin, North Carolina",North Carolina,Duplin,25,77,209
"Howard, Texas",Texas,Howard,25,43,109
"Campbell, Wyoming",Wyoming,Campbell,25,58,206
"Torrance, New Mexico",New Mexico,Torrance,25,16,42
"Garfield, Colorado",Colorado,Garfield,25,58,313
"Red Lake, Minnesota",Minnesota,Red Lake,25,5,64
"Union, New Jersey",New Jersey,Union,25,734,"2,590"
"Schoolcraft, Michigan",Michigan,Schoolcraft,25,10,28
"Phillips, Kansas",Kansas,Phillips,25,6,24
"Buckingham, Virginia",Virginia,Buckingham,25,28,91
"Saunders, Nebraska",Nebraska,Saunders,25,27,85
"Angelina, Texas",Texas,Angelina,25,107,301
"Marion, South Carolina",South Carolina,Marion,25,34,80
"Meade, Kansas",Kansas,Meade,25,5,13
"Polk, Missouri",Missouri,Polk,25,41,134
