"County, State",State,County Name,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Bergen, New Jersey",New Jersey,Bergen,22,"1,058","4,004"
"Clay, Kentucky",Kentucky,Clay,22,22,59
"Queen Anne's, Maryland",Maryland,Queen Anne's,22,53,188
"Latimer, Oklahoma",Oklahoma,Latimer,22,12,38
"Clark, Arkansas",Arkansas,Clark,22,26,83
"Palm Beach, Florida",Florida,Palm Beach,22,"1,642","5,272"
"Carlisle, Kentucky",Kentucky,Carlisle,22,5,14
"Harper, Kansas",Kansas,Harper,22,6,23
"San Mateo, California",California,San Mateo,22,800,"3,073"
"Louisa, Virginia",Virginia,Louisa,22,50,162
"Clay, Alabama",Alabama,Clay,22,14,50
"Monroe, Missouri",Missouri,Monroe,22,6,11
"Santa Cruz, California",California,Santa Cruz,22,315,"1,121"
"Southampton, Virginia",Virginia,Southampton,22,29,91
"Hendry, Florida",Florida,Hendry,22,77,252
"Moody, South Dakota",South Dakota,Moody,22,6,24
"Franklin, Louisiana",Louisiana,Franklin,22,21,47
"Grant, Louisiana",Louisiana,Grant,22,25,70
"Tift, Georgia",Georgia,Tift,22,41,149
"Barnstable, Massachusetts",Massachusetts,Barnstable,22,254,806
"Ste. Genevieve, Missouri",Missouri,Ste. Genevieve,22,19,62
"Allegany, New York",New York,Allegany,22,54,186
"Plumas, California",California,Plumas,22,20,67
"Juab, Utah",Utah,Juab,22,13,45
"Mendocino, California",California,Mendocino,22,100,346
"Bastrop, Texas",Texas,Bastrop,22,110,369
"Westchester, New York",New York,Westchester,22,"1,094","3,818"
"Bacon, Georgia",Georgia,Bacon,22,10,34
"Randolph, Georgia",Georgia,Randolph,22,7,16
"Seminole, Georgia",Georgia,Seminole,22,10,32
"Baker, Oregon",Oregon,Baker,22,18,59
"Gilchrist, Florida",Florida,Gilchrist,22,18,55
"Woodruff, Arkansas",Arkansas,Woodruff,22,7,20
"Van Buren, Arkansas",Arkansas,Van Buren,22,18,49
"Richmond, New York",New York,Richmond,22,539,"1,857"
"Gillespie, Texas",Texas,Gillespie,22,27,82
"McKinley, New Mexico",New Mexico,McKinley,22,74,277
"Carlton, Minnesota",Minnesota,Carlton,22,42,174
"Day, South Dakota",South Dakota,Day,22,6,11
"Nottoway, Virginia",Virginia,Nottoway,22,18,57
"Holmes, Florida",Florida,Holmes,22,19,59
"Richland, Louisiana",Louisiana,Richland,22,16,40
"Tucker, West Virginia",West Virginia,Tucker,22,7,15
"Winnebago, Iowa",Iowa,Winnebago,22,13,44
"Essex, Virginia",Virginia,Essex,22,11,35
"Ellsworth, Kansas",Kansas,Ellsworth,22,7,15
"Alexandria, Virginia",Virginia,Alexandria,22,167,730
"Terrebonne, Louisiana",Louisiana,Terrebonne,22,119,325
"Person, North Carolina",North Carolina,Person,22,49,160
"Haywood, Tennessee",Tennessee,Haywood,22,25,80
"San Luis Obispo, California",California,San Luis Obispo,22,300,"1,048"
"Pope, Minnesota",Minnesota,Pope,22,14,67
"Ouachita, Louisiana",Louisiana,Ouachita,22,166,555
"Cuming, Nebraska",Nebraska,Cuming,22,9,28
"Washington, Maine",Maine,Washington,22,34,109
"Mason, Illinois",Illinois,Mason,22,12,47
"Barbour, West Virginia",West Virginia,Barbour,22,17,57
"Baker, Florida",Florida,Baker,22,30,85
"Montgomery, Illinois",Illinois,Montgomery,22,31,113
"Crisp, Georgia",Georgia,Crisp,22,22,66
"Clarke, Alabama",Alabama,Clarke,22,26,61
"Murray, Oklahoma",Oklahoma,Murray,22,14,49
"Livingston, Kentucky",Kentucky,Livingston,22,10,30
"Chickasaw, Mississippi",Mississippi,Chickasaw,22,21,58
"Dallas, Alabama",Alabama,Dallas,22,41,109
"Rusk, Wisconsin",Wisconsin,Rusk,21,13,41
"Calcasieu, Louisiana",Louisiana,Calcasieu,21,204,506
"Hubbard, Minnesota",Minnesota,Hubbard,21,20,81
"Lincoln, Maine",Maine,Lincoln,21,38,131
"Coffey, Kansas",Kansas,Coffey,21,9,32
"Lyon, Iowa",Iowa,Lyon,21,13,35
"San Juan, Washington",Washington,San Juan,21,19,61
"Isle of Wight, Virginia",Virginia,Isle of Wight,21,41,169
"Iowa, Iowa",Iowa,Iowa,21,17,73
"Hancock, Iowa",Iowa,Hancock,21,11,33
"Luna, New Mexico",New Mexico,Luna,21,27,86
"Sussex, Virginia",Virginia,Sussex,21,17,42
"Greene, Mississippi",Mississippi,Greene,21,13,33
"Potter, Pennsylvania",Pennsylvania,Potter,21,18,63
"Pointe Coupee, Louisiana",Louisiana,Pointe Coupee,21,21,56
"Mecklenburg, Virginia",Virginia,Mecklenburg,21,33,97
"Morgan, Missouri",Missouri,Morgan,21,23,65
"Marin, California",California,Marin,21,310,"1,112"
"Morrill, Nebraska",Nebraska,Morrill,21,5,22
"Greene, Virginia",Virginia,Greene,21,19,79
"Putnam, Illinois",Illinois,Putnam,21,6,18
"Santa Cruz, Arizona",Arizona,Santa Cruz,21,51,163
"Essex, New York",New York,Essex,21,37,124
"Fremont, Idaho",Idaho,Fremont,21,12,36
"Stanly, North Carolina",North Carolina,Stanly,21,68,255
"Union, Pennsylvania",Pennsylvania,Union,21,39,153
"Washington, Rhode Island",Rhode Island,Washington,21,137,475
"Tioga, Pennsylvania",Pennsylvania,Tioga,21,44,160
"McCormick, South Carolina",South Carolina,McCormick,21,10,33
"Buchanan, Iowa",Iowa,Buchanan,21,19,68
"Comanche, Texas",Texas,Comanche,21,13,51
"Lake, South Dakota",South Dakota,Lake,21,12,56
"Apache, Arizona",Arizona,Apache,21,73,294
"Blaine, Montana",Montana,Blaine,21,7,23
"Park, Montana",Montana,Park,21,18,70
"Leake, Mississippi",Mississippi,Leake,21,24,68
"Otter Tail, Minnesota",Minnesota,Otter Tail,21,59,239
"Macon, North Carolina",North Carolina,Macon,21,39,117
"Washington, Kentucky",Kentucky,Washington,21,12,52
"Dallam, Texas",Texas,Dallam,21,12,26
"Ferry, Washington",Washington,Ferry,21,13,36
"Clay, North Carolina",North Carolina,Clay,21,12,43
"St. John the Baptist, Louisiana",Louisiana,St. John the Baptist,21,44,115
"Trempealeau, Wisconsin",Wisconsin,Trempealeau,21,33,105
"Osage, Missouri",Missouri,Osage,21,12,40
"Madison, Florida",Florida,Madison,21,20,48
"Clay, Illinois",Illinois,Clay,21,15,47
"Fleming, Kentucky",Kentucky,Fleming,21,16,47
"Morris, Kansas",Kansas,Morris,21,8,24
"San Miguel, Colorado",Colorado,San Miguel,21,9,38
"Chouteau, Montana",Montana,Chouteau,21,5,11
"Chariton, Missouri",Missouri,Chariton,21,10,34
"Bedford, Pennsylvania",Pennsylvania,Bedford,21,48,137
"Wabaunsee, Kansas",Kansas,Wabaunsee,21,7,20
"Sherman, Texas",Texas,Sherman,21,5,11
"Toombs, Georgia",Georgia,Toombs,21,32,102
"Calhoun, South Carolina",South Carolina,Calhoun,21,14,31
"Leon, Texas",Texas,Leon,21,20,68
"Pocahontas, West Virginia",West Virginia,Pocahontas,21,8,20
"Sarasota, Florida",Florida,Sarasota,21,446,"1,387"
"McHenry, North Dakota",North Dakota,McHenry,21,6,21
"LaGrange, Indiana",Indiana,LaGrange,21,40,87
"Floyd, Virginia",Virginia,Floyd,21,14,47
"Dillingham, Alaska",Alaska,Dillingham,21,5,13
"Goliad, Texas",Texas,Goliad,21,6,26
"McCreary, Kentucky",Kentucky,McCreary,21,17,53
"Pratt, Kansas",Kansas,Pratt,21,9,28
"Geauga, Ohio",Ohio,Geauga,21,93,328
"Jasper, South Carolina",South Carolina,Jasper,20,25,78
"Bamberg, South Carolina",South Carolina,Bamberg,20,13,38
"Dare, North Carolina",North Carolina,Dare,20,38,154
"McDuffie, Georgia",Georgia,McDuffie,20,22,70
"Shelby, Illinois",Illinois,Shelby,20,21,63
"Chaffee, Colorado",Colorado,Chaffee,20,20,84
"Jefferson, Montana",Montana,Jefferson,20,13,44
"Talbot, Maryland",Maryland,Talbot,20,38,160
"Tyler, West Virginia",West Virginia,Tyler,20,7,26
"Teton, Wyoming",Wyoming,Teton,20,23,108
"Copiah, Mississippi",Mississippi,Copiah,20,30,88
"Hamilton, New York",New York,Hamilton,20,9,29
"Decatur, Tennessee",Tennessee,Decatur,20,12,40
"Audrain, Missouri",Missouri,Audrain,20,32,96
"Warren, Georgia",Georgia,Warren,20,5,14
"Polk, North Carolina",North Carolina,Polk,20,20,71
"Washington, Mississippi",Mississippi,Washington,20,45,150
"Union, Kentucky",Kentucky,Union,20,14,49
"Mifflin, Pennsylvania",Pennsylvania,Mifflin,20,47,155
"Lewis, New York",New York,Lewis,20,26,77
"Johnson, Illinois",Illinois,Johnson,20,13,38
"Montgomery, Missouri",Missouri,Montgomery,20,10,39
"Langlade, Wisconsin",Wisconsin,Langlade,20,19,83
"Ben Hill, Georgia",Georgia,Ben Hill,20,18,55
"Johnston, Oklahoma",Oklahoma,Johnston,20,11,43
"Franklin, Maine",Maine,Franklin,20,29,110
"Greene, Georgia",Georgia,Greene,20,19,52
"Miami-Dade, Florida",Florida,Miami-Dade,20,"2,689","9,189"
"Rockland, New York",New York,Rockland,20,337,"1,171"
"Carroll, New Hampshire",New Hampshire,Carroll,20,50,184
"Newport, Rhode Island",Rhode Island,Newport,20,85,320
"Rooks, Kansas",Kansas,Rooks,20,5,20
"Shawano, Wisconsin",Wisconsin,Shawano,20,46,164
"Lafayette, Wisconsin",Wisconsin,Lafayette,20,16,53
"Heard, Georgia",Georgia,Heard,20,9,42
"Fayette, Tennessee",Tennessee,Fayette,20,42,133
"Levy, Florida",Florida,Levy,20,39,126
"Amelia, Virginia",Virginia,Amelia,20,13,40
"Calhoun, Texas",Texas,Calhoun,20,20,66
"Granville, North Carolina",North Carolina,Granville,20,51,176
"Kewaunee, Wisconsin",Wisconsin,Kewaunee,20,21,66
"Lee, Texas",Texas,Lee,20,17,55
"Patrick, Virginia",Virginia,Patrick,20,17,44
"Pierce, Georgia",Georgia,Pierce,20,20,66
"Rice, Kansas",Kansas,Rice,20,9,37
"Orangeburg, South Carolina",South Carolina,Orangeburg,20,81,254
"Door, Wisconsin",Wisconsin,Door,20,29,103
"Bladen, North Carolina",North Carolina,Bladen,20,28,91
"Dawes, Nebraska",Nebraska,Dawes,20,8,41
"Falls, Texas",Texas,Falls,20,21,67
"Lanier, Georgia",Georgia,Lanier,20,8,24
"Greene, Pennsylvania",Pennsylvania,Greene,20,35,128
"Putnam, Ohio",Ohio,Putnam,20,35,132
"Fairfield, South Carolina",South Carolina,Fairfield,20,21,63
"Buffalo, Wisconsin",Wisconsin,Buffalo,20,14,45
"Barnwell, South Carolina",South Carolina,Barnwell,19,21,66
"Las Animas, Colorado",Colorado,Las Animas,19,14,35
"Hamilton, Nebraska",Nebraska,Hamilton,19,9,52
"Lafourche, Louisiana",Louisiana,Lafourche,19,94,275
"Georgetown, South Carolina",South Carolina,Georgetown,19,50,172
"Bandera, Texas",Texas,Bandera,19,22,72
"Montrose, Colorado",Colorado,Montrose,19,43,153
"Crook, Wyoming",Wyoming,Crook,19,7,27
"Washington, Alabama",Alabama,Washington,19,15,45
"Phillips, Arkansas",Arkansas,Phillips,19,16,52
"Stevens, Washington",Washington,Stevens,19,32,117
"DeSoto, Florida",Florida,DeSoto,19,33,95
"Mahnomen, Minnesota",Minnesota,Mahnomen,19,6,20
"Allamakee, Iowa",Iowa,Allamakee,19,16,47
"Clinton, Illinois",Illinois,Clinton,19,31,97
"Aitkin, Minnesota",Minnesota,Aitkin,19,18,55
"Fillmore, Minnesota",Minnesota,Fillmore,19,22,87
"Marion, Missouri",Missouri,Marion,19,33,137
"Sierra, New Mexico",New Mexico,Sierra,19,11,33
"Clarion, Pennsylvania",Pennsylvania,Clarion,19,35,146
"Avoyelles, Louisiana",Louisiana,Avoyelles,19,38,101
"Fergus, Montana",Montana,Fergus,19,11,47
"Mercer, North Dakota",North Dakota,Mercer,19,8,24
"Keokuk, Iowa",Iowa,Keokuk,19,9,27
"Hamilton, Illinois",Illinois,Hamilton,19,7,21
"Westmoreland, Virginia",Virginia,Westmoreland,19,17,45
"Macon, Alabama",Alabama,Macon,19,18,54
"Monroe, Iowa",Iowa,Monroe,19,7,27
"Brown, Illinois",Illinois,Brown,19,6,23
"Johnson, Nebraska",Nebraska,Johnson,19,5,15
"Barnes, North Dakota",North Dakota,Barnes,19,10,32
"Karnes, Texas",Texas,Karnes,19,13,40
"Collier, Florida",Florida,Collier,19,358,"1,197"
"St. Francis, Arkansas",Arkansas,St. Francis,19,21,69
"Grimes, Texas",Texas,Grimes,19,28,95
"Butler, Alabama",Alabama,Butler,19,16,48
"St. Mary, Louisiana",Louisiana,St. Mary,19,47,176
"Cameron, Louisiana",Louisiana,Cameron,19,30,95
"Hardeman, Tennessee",Tennessee,Hardeman,19,24,65
"Morrison, Minnesota",Minnesota,Morrison,19,30,112
"Dukes, Massachusetts",Massachusetts,Dukes,19,20,82
"Colusa, California",California,Colusa,19,20,67
"Bailey, Texas",Texas,Bailey,19,8,22
"Pemiscot, Missouri",Missouri,Pemiscot,19,14,54
"Haskell, Texas",Texas,Haskell,19,5,14
"Edwards, Illinois",Illinois,Edwards,19,5,16
"Montgomery, Georgia",Georgia,Montgomery,19,6,15
"Wadena, Minnesota",Minnesota,Wadena,19,16,59
"Green Lake, Wisconsin",Wisconsin,Green Lake,18,11,28
"Colfax, Nebraska",Nebraska,Colfax,18,9,29
"Le Sueur, Minnesota",Minnesota,Le Sueur,18,33,147
"Bertie, North Carolina",North Carolina,Bertie,18,17,56
"Jackson, Florida",Florida,Jackson,18,46,137
"San Francisco, California",California,San Francisco,18,781,"3,550"
"Yuma, Colorado",Colorado,Yuma,18,9,34
"Bradley, Arkansas",Arkansas,Bradley,18,10,39
"Glades, Florida",Florida,Glades,18,28,84
"Hempstead, Arkansas",Arkansas,Hempstead,18,17,51
"Iberia, Louisiana",Louisiana,Iberia,18,66,201
"St. James, Louisiana",Louisiana,St. James,18,20,46
"Alcona, Michigan",Michigan,Alcona,18,11,51
"Northwest Arctic, Alaska",Alaska,Northwest Arctic,18,7,22
"Houston, Minnesota",Minnesota,Houston,18,18,79
"Blaine, Idaho",Idaho,Blaine,18,22,86
"Kearney, Nebraska",Nebraska,Kearney,18,5,27
"Northampton, Virginia",Virginia,Northampton,18,11,29
"Hamilton, Texas",Texas,Hamilton,18,10,31
"Lincoln, Colorado",Colorado,Lincoln,18,6,21
"Iberville, Louisiana",Louisiana,Iberville,18,28,101
"Benton, Minnesota",Minnesota,Benton,18,30,131
"Yates, New York",New York,Yates,18,23,71
"Marengo, Alabama",Alabama,Marengo,18,17,72
"Jefferson Davis, Louisiana",Louisiana,Jefferson Davis,18,26,79
"Putnam, Georgia",Georgia,Putnam,18,19,53
"Conecuh, Alabama",Alabama,Conecuh,18,12,32
"Big Horn, Montana",Montana,Big Horn,18,11,58
"Cibola, New Mexico",New Mexico,Cibola,18,26,60
"Anson, North Carolina",North Carolina,Anson,18,20,64
"St. Martin, Louisiana",Louisiana,St. Martin,18,41,115
"Lewis, Missouri",Missouri,Lewis,18,9,26
"Mitchell, Texas",Texas,Mitchell,18,8,14
"Morris, Texas",Texas,Morris,18,9,37
"Brown, Indiana",Indiana,Brown,18,16,80
"Milam, Texas",Texas,Milam,18,22,76
"Hale, Alabama",Alabama,Hale,18,15,48
"Clay, Kansas",Kansas,Clay,18,7,33
"Lincoln, Arkansas",Arkansas,Lincoln,18,16,38
"Acadia, Louisiana",Louisiana,Acadia,18,72,218
"Carbon, Montana",Montana,Carbon,18,9,37
"Pickett, Tennessee",Tennessee,Pickett,18,5,16
"Lake, Minnesota",Minnesota,Lake,17,14,70
"Sullivan, Missouri",Missouri,Sullivan,17,5,12
"Montgomery, North Carolina",North Carolina,Montgomery,17,21,81
"Pawnee, Kansas",Kansas,Pawnee,17,6,29
"Otero, New Mexico",New Mexico,Otero,17,64,246
"Somerset, Maryland",Maryland,Somerset,17,20,59
"Martin, North Carolina",North Carolina,Martin,17,19,67
"Ballard, Kentucky",Kentucky,Ballard,17,9,24
"Carroll, Illinois",Illinois,Carroll,17,14,84
"Sac, Iowa",Iowa,Sac,17,8,32
"Clark, Wisconsin",Wisconsin,Clark,17,30,89
"Monroe, Arkansas",Arkansas,Monroe,17,6,33
"Coffee, Georgia",Georgia,Coffee,17,38,125
"Monroe, Kentucky",Kentucky,Monroe,17,10,28
"Boise, Idaho",Idaho,Boise,17,5,22
"Early, Georgia",Georgia,Early,17,9,29
"Washington, North Carolina",North Carolina,Washington,17,10,25
"Windham, Vermont",Vermont,Windham,17,39,171
"Grant, New Mexico",New Mexico,Grant,17,24,75
"Uinta, Wyoming",Wyoming,Uinta,17,5,22
"Oglethorpe, Georgia",Georgia,Oglethorpe,17,16,66
"Lincoln, Minnesota",Minnesota,Lincoln,17,5,21
"Alger, Michigan",Michigan,Alger,17,7,26
"Marquette, Wisconsin",Wisconsin,Marquette,17,15,51
"Nelson, Virginia",Virginia,Nelson,17,15,62
"Nantucket, Massachusetts",Massachusetts,Nantucket,17,12,48
"Lavaca, Texas",Texas,Lavaca,17,12,49
"Archer, Texas",Texas,Archer,17,22,98
"Franklin, Iowa",Iowa,Franklin,17,10,48
"Madison, Louisiana",Louisiana,Madison,17,13,31
"Greene, Alabama",Alabama,Greene,17,6,16
"Pike, Missouri",Missouri,Pike,17,16,58
"Lamb, Texas",Texas,Lamb,17,10,42
"Webster, West Virginia",West Virginia,Webster,17,7,24
"Madison, Virginia",Virginia,Madison,17,12,44
"Northumberland, Virginia",Virginia,Northumberland,17,12,37
"Bollinger, Missouri",Missouri,Bollinger,17,8,32
"Cook, Georgia",Georgia,Cook,17,15,41
"Lincoln, New Mexico",New Mexico,Lincoln,17,17,56
"Forest, Pennsylvania",Pennsylvania,Forest,17,6,14
"Lyon, Kentucky",Kentucky,Lyon,17,7,14
"Red River, Texas",Texas,Red River,17,10,29
"Idaho, Idaho",Idaho,Idaho,17,15,43
"Waseca, Minnesota",Minnesota,Waseca,17,16,74
"Mitchell, Georgia",Georgia,Mitchell,17,20,68
"Van Buren, Tennessee",Tennessee,Van Buren,17,5,9
"Warren, North Carolina",North Carolina,Warren,17,13,46
"Hart, Georgia",Georgia,Hart,17,19,79
"Pleasants, West Virginia",West Virginia,Pleasants,16,6,21
"Washington, Georgia",Georgia,Washington,16,16,54
"Grady, Georgia",Georgia,Grady,16,19,60
"Pecos, Texas",Texas,Pecos,16,11,38
"Ralls, Missouri",Missouri,Ralls,16,6,16
"Pondera, Montana",Montana,Pondera,16,5,18
"Lucas, Iowa",Iowa,Lucas,16,7,35
"Cannon, Tennessee",Tennessee,Cannon,16,9,52
"West Carroll, Louisiana",Louisiana,West Carroll,16,8,32
"Jefferson, Mississippi",Mississippi,Jefferson,16,7,23
"Grant, Oregon",Oregon,Grant,16,6,29
"Choctaw, Alabama",Alabama,Choctaw,16,10,32
"Howard, Nebraska",Nebraska,Howard,16,5,22
"Clinch, Georgia",Georgia,Clinch,16,5,25
"Forest, Wisconsin",Wisconsin,Forest,16,8,40
"Logan, Colorado",Colorado,Logan,16,17,71
"Terrell, Georgia",Georgia,Terrell,16,7,23
"Wheeler, Georgia",Georgia,Wheeler,16,6,11
"Lac qui Parle, Minnesota",Minnesota,Lac qui Parle,16,5,18
"Jefferson, Florida",Florida,Jefferson,16,10,36
"Kent, Maryland",Maryland,Kent,16,19,75
"King William, Virginia",Virginia,King William,16,14,53
"Benewah, Idaho",Idaho,Benewah,16,8,23
"Rock, Minnesota",Minnesota,Rock,16,8,31
"Holt, Nebraska",Nebraska,Holt,16,8,28
"Clarke, Mississippi",Mississippi,Clarke,16,12,45
"Murray, Minnesota",Minnesota,Murray,16,6,16
"Prince Edward, Virginia",Virginia,Prince Edward,16,8,23
"Dent, Missouri",Missouri,Dent,16,11,55
"Noxubee, Mississippi",Mississippi,Noxubee,16,8,22
"Adams, Washington",Washington,Adams,16,18,55
"Washington, Louisiana",Louisiana,Washington,15,36,128
"Socorro, New Mexico",New Mexico,Socorro,15,13,49
"San Juan, Utah",Utah,San Juan,15,10,39
"Knox, Nebraska",Nebraska,Knox,15,7,29
"Charlotte, Virginia",Virginia,Charlotte,15,7,19
"Beaver, Oklahoma",Oklahoma,Beaver,15,5,16
"Zapata, Texas",Texas,Zapata,15,11,36
"Pipestone, Minnesota",Minnesota,Pipestone,15,7,30
"Teton, Idaho",Idaho,Teton,15,9,34
"Texas, Oklahoma",Oklahoma,Texas,15,16,68
"Hertford, North Carolina",North Carolina,Hertford,15,16,59
"Coosa, Alabama",Alabama,Coosa,15,8,22
"Dallas, Arkansas",Arkansas,Dallas,15,6,27
"Vernon, Wisconsin",Wisconsin,Vernon,15,22,95
"Beaverhead, Montana",Montana,Beaverhead,15,7,33
"Williamsburg, South Carolina",South Carolina,Williamsburg,15,23,104
"Wabasha, Minnesota",Minnesota,Wabasha,15,16,68
"West Baton Rouge, Louisiana",Louisiana,West Baton Rouge,15,20,90
"Converse, Wyoming",Wyoming,Converse,15,10,50
"Greene, Illinois",Illinois,Greene,15,9,33
"Brunswick, Virginia",Virginia,Brunswick,15,11,38
"Plaquemines, Louisiana",Louisiana,Plaquemines,14,17,66
"Kusilvak, Alaska",Alaska,Kusilvak,14,6,27
"Wilkinson, Mississippi",Mississippi,Wilkinson,14,7,24
"Weston, Wyoming",Wyoming,Weston,14,5,20
"Castro, Texas",Texas,Castro,14,5,21
"Moniteau, Missouri",Missouri,Moniteau,14,13,44
"Lowndes, Alabama",Alabama,Lowndes,14,9,47
"Sanders, Montana",Montana,Sanders,14,9,33
"Sitka, Alaska",Alaska,Sitka,14,6,37
"Ottawa, Kansas",Kansas,Ottawa,14,5,30
"Crawford, Wisconsin",Wisconsin,Crawford,14,11,50
"Stevens, Minnesota",Minnesota,Stevens,14,7,63
"Juniata, Pennsylvania",Pennsylvania,Juniata,14,14,51
"Turner, Georgia",Georgia,Turner,14,7,21
"Echols, Georgia",Georgia,Echols,14,8,24
"Barbour, Alabama",Alabama,Barbour,14,18,67
"Northampton, North Carolina",North Carolina,Northampton,14,12,33
"Kemper, Mississippi",Mississippi,Kemper,14,6,18
"Grand Isle, Vermont",Vermont,Grand Isle,14,5,21
"Okeechobee, Florida",Florida,Okeechobee,14,13,61
"Lake, Colorado",Colorado,Lake,14,5,24
"Brooks, Texas",Texas,Brooks,13,5,19
"Holmes, Ohio",Ohio,Holmes,13,32,89
"Sumter, Florida",Florida,Sumter,13,90,274
"Walsh, North Dakota",North Dakota,Walsh,13,7,36
"Noble, Ohio",Ohio,Noble,13,9,43
"Evangeline, Louisiana",Louisiana,Evangeline,13,18,63
"San Augustine, Texas",Texas,San Augustine,13,6,17
"Blaine, Oklahoma",Oklahoma,Blaine,13,5,32
"Dooly, Georgia",Georgia,Dooly,12,7,21
"Amite, Mississippi",Mississippi,Amite,12,6,17
"Assumption, Louisiana",Louisiana,Assumption,12,11,41
"Macon, Georgia",Georgia,Macon,12,7,18
"Runnels, Texas",Texas,Runnels,12,5,28
"Pulaski, Georgia",Georgia,Pulaski,12,7,23
"Lake, Michigan",Michigan,Lake,12,7,20
"Jack, Texas",Texas,Jack,12,5,22
"Pickens, Alabama",Alabama,Pickens,11,11,41
"Hancock, Georgia",Georgia,Hancock,11,5,19
"Stephens, Texas",Texas,Stephens,11,5,20
"North Slope, Alaska",Alaska,North Slope,11,6,15
"Bienville, Louisiana",Louisiana,Bienville,10,6,36
"Caswell, North Carolina",North Carolina,Caswell,10,8,33
"Trinity, California",California,Trinity,10,8,22
"Nome, Alaska",Alaska,Nome,10,5,22
"Martin, Indiana",Indiana,Martin,10,6,31
"Green, Kentucky",Kentucky,Green,10,5,28
"Grand, Colorado",Colorado,Grand,9,7,52
"Jefferson, Georgia",Georgia,Jefferson,9,7,42
"Monroe, Alabama",Alabama,Monroe,8,8,41
